cytoband	11q25	17q21.31	8p22	19p13.3	6q27	11p15.5	6q15	9p23	2q37.3	3p14.2	17p12	13q14.2	12q24.21	1p36.31	14q24.3	15q13.1	19q13.32	9p21.3	10q26.3	9q21.12	1p13.3	16q24.2	18q23	5q12.3	18p11.31	17p11.2	4p16.3	3p12.2	4q35.2	8p11.21	8q24.3	1p36.32	7q36.1	13q11	21q21.3	1p36.23	7p22.3	2p24.1	22q13.32	21q11.2	
			OR4F21			OR5P2			LOC100286922	SHISA5			TESC		SAMD15	LOC283710	PRKD2		OBFC1	RORB-AS1	CLCA4	PLEKHG4		FAM169A			CLRN2	PRSS50				DNAJC16	PDAP1			SLC1A7	MIR4656	SMC6	PARVG		
			FAM90A7P			OR5P3			MIR1471	ZDHHC3			PARPBP		EML5	FAM98B	ZNF473		C10orf88	LOC103908605	MTF2	DKFZP434H168		FBXL21			LOC650293	RBM15B				UBR4	TFEC			SLC2A1	KLHL7-AS1	CLIP4	CERK		
			FAM90A10P			OR2D3			MIR1244-1	ZMYND10			RIC8B		PROX2	PLA2G4D	CCDC9		UBTD1	LOC105376064	NTNG1	LRRC29		UQCRQ			ZNF732	GMPPB				ATP13A2	LAMB4			SLC2A5	MACC1-AS1	CAMKMT	EFCAB6		
			DEFA8P			OR2D2			BOK-AS1	TEX264			APPL2		LOC283575	HERC2P3	IRF2BP1		CFAP43	LOC105376114	WDR47	CPNE7		AFF4			SCARNA22	ARHGEF3				TARDBP	LMTK2			SLC6A9	RNF216-IT1	GEMIN6	CENPM		
			DEFA9P			OR52W1			MIR1244-3	TMA7			SBNO1		ZDHHC22	GOLGA6L1	FGF21		LRRC27	LOC105379450	USP33	VPS4A		DIMT1			MIR571	ABHD5				CELA3B	PAXIP1			SLC9A1	LOC101926963	NOL10	ALG12		
			DEFA10P			OR56A4			MIR1244-2	ZNF589			DRAM1		TMED8	GOLGA8G	SNORD35A		TRIM8	XLOC_007697	CLCC1	IL17C		SLC27A6			MIR572	C3orf18				ICMT	KLHDC10			SRM	LOC101927000	WDCP	NOL12		
			MIR383			OR56A1			MIR3133	HEMK1			SVOP		C14orf178	GOLGA8IP	SNORD34		KAZALD1		SLC35D1	TOX3		SNX24			MIR573	SS18L2				PADI4	SSPO			TAF12	LOC101927021	THUMPD2	CRELD2		
			C8orf58			SYT9			MIR4269	IP6K2			STAB2		LOC283585	SNORD108	SNORD33		SFXN3		ADGRL2	NOB1		DMGDH			USP17L24	SHISA5				TMEM50A	NUP205			TAL1	ELFN1-AS1	FAM49A	C22orf46		
			C8orf49			OR52B4			AGAP1-IT1	SFMBT1			VEZT		LINC01146	SNORD109A	SNORD32A		SLC25A28		KIAA1107	CCDC113		TMED7			USP17L25	ZDHHC3				STX12	AHCYL2			TCEA3	LOC101927181	LBH	KCTD17		
			DEFB135			C11orf40			UBE2F-SCLY	NCKIPSD			GOLGA2P5		ADAM20P1	SNORD115-1	ZNF285		ELOVL3		ITGB3BP	TMEM208		ISOC1			USP17L26	ZMYND10				CLIC4	TNPO3			TCEB3	LOC101927354	C2orf16	CCDC134		
			DEFB136			OR52I2			MIR4439	PHF7			ZCCHC8		C14orf39	WHAMMP3	LYPD3		MARVELD1		SLC35A3	CFAP20		SAR1B			USP17L27	TEX264				SYF2	HYAL4			TIE1	LOC101927391	YIPF4	ADM2		
			DEFB134			OR51E1			MIR4777	TLR9			SCYL2		SNORD56B	FMN1	BBC3		PCGF6		LRRC8B	FHOD1		IPO11			USP17L28	TMA7				CHD5	TSPAN12			TNFRSF1B	MEOX2-AS1	ZNF512	FOXRED2		
			ERICH1-AS1			UBQLNL			MIR2467	LZTFL1			POLR3B		VSX2	SNORD64	DKKL1		LOXL4		LPAR3	BRD7		CDKL3			USP17L29	ZNF589				SZRD1	CLEC5A			TP73	LOC101927630	DPY30	BAIAP2L2		
			DEFB109P1B			LOC143666			MIR4440	P4HTM			CHFR		RAB15	PWAR4	C5AR2		ZDHHC16		DDAH1	ANKRD11		GCNT4			USP17L30	HEMK1				LDLRAP1	MKRN1			TTC4	LOC101927668	ABHD1	SCUBE1		
			RPL23AP53			OR10A5			MIR4786	SLC6A20			FGD6		HEATR4	PWARSN	DHDH		ADGRA1		NBPF14	ZDHHC1		PRR16			FLJ36777	IP6K2				NOC2L	ZKSCAN5			TNFRSF4	LOC101927769	EPT1	TRABD		
			USP17L4			OR2AG1			MIR4441	IL17RD			WSB2		FLJ22447	LINC01193	SLC6A16		LZTS2		RWDD3	OSGIN1		COMMD10			PSAPL1	SFMBT1				FBXO2	CLDN15			UQCRH	LOC101927811	MCFD2	PNPLA3		
			USP17L3			DNHD1			MIR5001	ELP6			NDUFA12		PLEKHD1	MRPL42P5	CYP2S1		NKX6-2		ZZZ3	PARD6A		POLK			MIR943	NCKIPSD				FBXO6	BRI3			UROD	MIR6836	ATP6V1E2	APOL6		
			LOC649352			SCGB1C1			MIR5702	SNRK			DIABLO		FOXN3-AS1	IGHV1OR15-1	STRN4		MRPL43		SERBP1	PLLP		RAPGEF6			LOC100129917	PHF7				PLA2G2D	TECPR1			USP1	MIR6874	DHX57	APOL5		
			FAM86B2			C11orf42			MIR5703	QRICH1			ANKS1B		LINC00642	C15orf52	SERTAD3		AFAP1L2		PTPN22	CKLF		ERAP1			LOC100129931	TLR9				SNORA73B	POT1			ZSCAN20	KCCAT333	PKDCC	APOL4		
			SPAG11A			NLRP6			CAPN10-AS1	PXK			CHPT1		LINC00238	GOLGA8EP	SERTAD1		PYROXD2		PHGDH	NIP7		PHAX			LOC100130872	LZTFL1				RNU11	PTCD1			ZBTB17	LOC102723672	RSAD2	APOL3		
			MIR596			LOC171391			LINC01237	SLC25A38			TMCC3		CCDC88C	OR4M2	GLTSCR2		USMG5		AK5	FAM96B		PELO			LOC100133461	P4HTM				RNU6-1	CNTNAP2			SLC30A2	LOC102725191	CAPN13	SELO		
			MIR597			OR56B4			LOC101928111	ULK4			PITPNM2		TEX21P	OR4N3P	GLTSCR1		ARHGAP19		SNORA66	GINS2		DHX29			USP17L10	SLC6A20				RNU5E-1	HYALP1			LUZP1	LINC01162	DRC1	L3MBTL2		
			MIR598			TOLLIP-AS1			LOC101928881	FEZF2			EP400		ACOT1	HERC2P10	EHD2		KNDC1		SNORD45B	TPPP3		EPB41L4A-AS2			USP17L11	IL17RD				RNU1-3	TES			PRDM2	LOC105375115	HNRNPLL	HDAC10		
			DEFA11P			OR52B2			MIR6811	EBLN2			DHX37		ACOT6	HERC2P2	SHANK1		ITPRIP		SNORD45A	TRAPPC2L		DDX4			USP17L12	ELP6				RNU1-2	GIMAP2			DNALI1	LOC105375166	NT5C1B	LDOC1L		
			DEFA1B			LMNTD2			LOC102723927	ANO10			FBRSL1		FUT8-AS1	C15orf53	NOSIP		OLMALINC		RNVU1-7	CES1P1		SGTB			USP17L13	SNRK				RNU1-1	OR2F1			LRP8		KLHL29	POLDIP3		
			ZNF705D			OR51F1			LINC01173	DALRD3			DDX55		LINC00643	C15orf54	HSD17B14		MTG1		RNU1-3	WWOX		ARL15			USP17L17	QRICH1				HSPB7	FBXO24			LAPTM5		CMPK2	C22orf23		
			FAM90A2P			OR51B5				SHQ1			NTN4		LOC646548	DUOXA2	VRK3		BBIP1		RNU1-2	BCO1		ZCCHC10			USP17L18	PXK				ARHGEF16	SLC13A4			BSND		MBOAT2	PHF5A		
			LOC729732			KRT8P41				PBRM1			TRPV4		SYNDIG1L	MIR211	PTOV1		FANK1		RNU1-1	TERF2IP		GIN1			USP17L19	SLC25A38				AHDC1	RNU6-1			PTP4A2		TMEM18	KIAA1644		
			FAM66B			SBF2-AS1				CHDH			LHX5		SNORA79	NF1P2	RAB4B		SYCE1		FOXD3	PRMT7		AGGF1			USP17L20	ULK4				SMPDL3B	COPG2			ARID1A		CIB4	SHANK3		
			LOC100128993			CSNK2A3				IL17RB			SUDS3		MIR625	GOLGA6L22	TRPM4		HOGA1		CHIA	NECAB2		WDR41			USP17L15	FEZF2				LINC00339	HBP1			SNHG3		PLEKHH2	MICALL1		
			PRR23D1			OR51V1				CACNA2D3			ACTR6		LINC01220	HERC2P9	QPCTL		SORCS1		RNF115	KLHDC4		LOC55338			MIR548I2	EBLN2				SSU72	DNAJC2			NR0B2		OSR1	TUBGCP6		
			ZNF705G			H19				DCP1A			C12orf43		SNORA11B	WHAMMP2	FAM83E		PRAP1		GPSM2	HYDIN		TRIM36			MIR1255B1	ANO10				UBIAD1	TPK1			RAD54L		TTC32	LMF2		
			FAM66E			CRACR2B				GLT8D1			VPS33A		LOC100128233	GOLGA8B	RASIP1		ZNF511		ALG6	DEF8		RIOK2			TMED11P	DALRD3				PADI1	SND1			PIK3R3		ZNF513	ISX		
			ZNF705B			TMEM80				ZKSCAN7			RSRC2		LOC100289511	EIF2AK4	TMEM160		C10orf90		SLC25A24	DUS2		DEPDC1B			MIR4274	SHQ1				PLA2G2E	SND1-IT1			MMP23B		GALM	RPS19BP1		
			FAM66D			OR10A4				LMOD3			AACS		MIR1260A	CATSPER2P1	PIH1D1		BTBD16		DNTTIP2	CHTF8		BDP1			MIR4275	PBRM1				WRAP73	DENND2A			MMP23A		TMEM178A	SMDT1		
			FAM66A			OLFML1				SEMA3G			NUP37		MIR548H1	LINC00929	ATP5SL		FAM24A		TMED5	LPCAT2		ERBIN			MIR3138	ZNF654				SLC45A1	ZNF777			KCNAB2		C2orf50	RRP7BP		
			PRR23D2			LOC283299				KIF15			DDX54		LOC100506321	CKMT1A	C19orf73		PSTK		BOLA1	TXNL4B		CCL28			SLIT2-IT1	CHDH				HP1BP3	TMEM176B			FCN3		PQLC3	SERHL		
			LOC100287015			MRGPRG-AS1				ADAMTS9			NOC4L		LOC100506476	SERINC4	PNMAL1		MORN4		TNNI3K	BANP		FEM1C			LOC100505912	IL17RB				CELA2B	HIPK2			YARS		LINC01105	PHF21B		
			DEFB4B			NLRP10				PCBP4			GNPTAB		LOC100506498	C15orf62	TMEM143		ZFYVE27		SH3GLB1	HEATR3		C5orf15			STX18-AS1	CACNA2D3				ZNF593	WDR91			MKNK1		TCF23	KLHDC7B		
			MIR1322			NLRP14				ABHD6			B3GNT4		LOC100506603	GOLGA8N	SMG9		MMP21		HAO2	PDPR		CDC42SE2			LOC100508631	DCP1A				MECR	REPIN1			AKR7A2		GAREM2	FAM83F		
			MIR548I3			ANO9				LRTM1			TCTN1		LOC100506700	C15orf56	IRGC		SFXN2		ACP6	RFWD3		TRPC7			MIR378D1	GLT8D1				SDF4	HILPDA			PLPP3		PLB1	ELFN2		
			MIR548H4			KRTAP5-AS1				C3orf14			OGFOD2		SYNJ2BP-COX16	PHGR1	CABP5		PDZD8		SNX7	SLC38A7		NLN			MIR4800	ZKSCAN7				MRTO4	MDFIC			PTCH2		MYADML	C1QTNF6		
			MIR4287			KCNQ1-AS1				KIAA1143			VPS37B		CHURC1-FNTB	EIF3J-AS1	SPHK2		BORCS7		GPR89B	OGFOD1		ZNF608			MIR4801	LMOD3				YTHDF2	PILRB			ALDH4A1		FAM84A	TNFRSF13C		
			MIR548V			B4GALNT4				HHATL			C12orf49		MIR4505	CHEK2P2	EXOSC5		GSTO2		TRIM33	LRRC36		SEMA6A			MIR4798	SEMA3G				ZCCHC17	PILRA			EIF3I		RMDN2	SNORD139		
			MIR4286			OR52L1				WDR48			TCTN2		MIR4708	LOC646214	MEIS3		SFR1		DPH5	DDX19A		ARRDC3			HTT-AS	KIF15				PADI3	FSCN3			EIF4G3		GDF7	SNORD83A		
			MIR3926-2			OR2AG2				SELK			NAA25		MIR4709	CXADRP2	CEACAM19		CALHM3		GPR88	FBXL8		ZSWIM6			MIR5091	ADAMTS9				ERRFI1	ATP6V0A4			B4GALT2		ADGRF3	SNORD83B		
			MIR3622A			OR52B6				PROK2			SLC8B1		MIR4706	PDCD6IPP2	SLC17A7		CTAGE7P		TRMT13	SMPD3		ANKRA2			LOC101927363	PCBP4				WNT4	PNPLA8			TNFRSF25		OXER1	ANKRD54		
			MIR3926-1			OR10A2				RNF123			RNF34		DIO2-AS1	IGHV1OR15-3	CD177		CLRN3		RSBN1	ZNF821		MCCC2			LOC101928279	ABHD6				FBXO42	TAS2R3			PABPC4		FAM179A	APOBEC3D		
			MIR3622B			OVCH2				KIF9			CCDC92		HIF1A-AS1	REREP3	RCN3		PNLIPRP3		ZNHIT6	ZDHHC7		EPB41L4A			LOC101928306	LRTM1				RNF186	TAS2R4			TNFRSF14		UBXN2A	C22orf42		
			MIR3674			PDDC1				CSRNP1			MTERF2		HIF1A-AS2	GOLGA8S	PNMAL2		SFXN4		LEPROT	VAC14		CENPK			LOC101928622	C3orf14				MXRA8	TAS2R16			TNFRSF18		KCNG3	ENTHD1		
			LOC100506990			GALNT18				GORASP1			PUS1		MIR5694	GOLGA8J	PRR12		CPXM2		GIPC2	DOK4		ERAP2			LOC101929019	KIAA1143				HES2	FIS1			PER3		CYS1	DNAJB7		
			LOC100507071			MRGPRG				CDCP1			ACAD10		LINC00911	GOLGA8T	PLEKHA4		TRUB1		GDAP2	VPS35		ARHGEF28			LINC01182	HHATL				GPN2	CPA4			EIF2B3		KRTCAP3	CHADL		
			LOC100507156			KRTAP5-1				CCDC71			GLT8D2		LOC100996664	GOLGA8K	PRX		VTI1A		FAM46C	CMTR2		TMEM267			LOC101929095	WDR48				FBLIM1	WNT16			ARTN		SPDYA	MEI1		
			DLGAP2-AS1			KRTAP5-3				NT5DC2			KCTD10		LOC101927780	GOLGA8M	SPTBN4		C10orf82		PALMD	DDX28		FBXL17			LOC101929123	SELK				MED18	ACTL6B			MAP3K6		ATP6V1C2	FAM109B		
			MCPH1-AS1			KRTAP5-4				SLC26A6			USP44		LOC101928075	MIR626	MARK4		CACUL1		FNBP1L	TSNAXIP1		YTHDC2			LOC101929161	PROK2				PQLC2	PRKAG2			DIRAS3		RNASEH1	NFAM1		
			MIR4659A			IFITM5				CAMKV			SLC41A2		LOC101928123	MIR627	SCAF1		NKX2-3		ST7L	CENPN		SLC30A5			LOC101929199	RNF123				CASZ1	ZC3HC1			KCNQ4		LCLAT1	PNPLA5		
			MIR4660			FAM99A				LRRC2			TCHP		LOC101928143	ANP32AP1	TSKS		CFAP58		PRPF38B	CMC2		CENPH			MIR7978	KIF9				TRNAU1AP	SRRT			ZMYM4		GPATCH11	PRR34-AS1		
			MIR4659B			OR56B1				FYCO1			COQ5		LOC101928504	GOLGA6L6	DMRTC2		C10orf91		LRRC8D	COQ9		GPBP1			LOC102723778	CSRNP1				CPSF3L	LUC7L2			ZMYM6		FAM150B	CDPF1		
			GS1-24F4.2			GVINP1				CCDC51			HVCN1		LINC01467	LOC727924	ELSPBP1		PWWP2B		PRMT6	CIAPIN1		GRAMD3			LOC102723828	GORASP1				C1orf159	MRPS33			DHRS3		LOC285043	GTSE1-AS1		
			MIR5692A2			OR52K1				THOC7			SRRM4		LOC101928767	GOLGA8O	LIN7B		EMX2OS		RAVER2	THAP11		PARP8			LINC01396	CDCP1				AURKAIP1	NUB1			VAMP3		LINC00486	TMPRSS6		
			MIR5692A1			OR52I1				WDR82			CCDC62		LOC101928791	GOLGA6L7P	HIF3A		PLPP4		MCOLN3	JPH3		ANKRD55			STX18-IT1	CCDC71				MRPL20	LSM8			ZFYVE9		C2orf61	APOBEC3H		
			LZTS1-AS1			OR51D1				RTP3			KDM2B		LOC101928909	GOLGA8H	ZNF574		PAOX		SLC22A15	PDP2		TXNDC15			LOC105374344	NT5DC2				AIM1L	COPG2IT1			SNRNP40		DNAJC5G	WBP2NL		
			LINC00681			OR52A5				LRRC2-AS1			UNC119B		LINC00644	PIN4P1	TRAPPC6A		FAM24B		RNPC3	ZNF319		MCTP1			LOC105374366	SLC26A6				TMEM51	GPR85			THEMIS2		IAH1	POLR3H		
			LOC101927752			OR51B6				ATRIP			USP30		MIR7641-2	OIP5-AS1	FKRP		EBF3		LRRC40	RANBP10		PTCD2			LOC105374516	CAMKV				XKR8	TAS2R5			TMEM59		FLJ33534	APOBEC3A		
			LOC101927815			OR51M1				NICN1			ORAI1		MIR7843	GOLGA8CP	ZNF576		CALHM1		DEPDC1	VAT1L		ELOVL7			LOC105374546	LRRC2				ARHGEF10L	CHPF2			H6PD		CYP1B1-AS1	APOBEC3F		
			LOC101928058			OR51Q1				MON1A			RNFT2		MIR7855	PWRN1	TBC1D17		CASC2		LRIF1	TLDC1		TRAPPC13			LOC105377651	FYCO1				VPS13D	PUS7			ISG15		C2orf70	PRR14L		
			LOC101929066			OR51I1				KBTBD8			FAM222A		LOC102723809	PWRN2	GEMIN7		TCERG1L		CTTNBP2NL	WFDC1		NUDT12				CCDC51				ATAD3A	ING3			PLCH2		PRR30	SERHL2		
			LOC101929128			OR51I2				ABHD14B			RITA1		LOC102724153	SNORD116-1	MYH14		HSPA12A		FAM212B	NOD2		ATG10				THOC7				TMEM57	LRRN3			IPO13		LINC00298	BPIFC		
			LOC101929172			OR52D1				POMGNT2			FAM222A-AS1		LOC102724190	SNORD116-2	COQ8B		FUOM		GNG12	PDF		SPATA9				WDR82				PANK4	ALKBH4			SDC3		LINC00299	RNU12		
			LINCR-0001			OR52H1				UCN2			ANKRD13A		LINC01269	SNORD116-3	FUZ		JAKMIP3		KYAT3	DPEP2		TSSK1B				RTP3				CAMK2N1	NCAPG2			KDM4A		LINC01115	ATP5L2		
			LOC101929229			OR52N4				ZNF502			TMEM116		SALRNA1	SNORD116-4	OPA3		STK32C		TMEM167B	DPEP3		FAM172A				LRRC2-AS1				ASAP3	CHCHD3			CROCC		MSGN1	LOC284930		
			LOC101929237			OR52N5				RFT1			UBE3B		LINC01629	SNORD116-5	ITPKC		BLOC1S2		OLFML3	PAPD5		ADGRV1				ATRIP				PNRC2	ZCWPW1			PUM1		CDKL4	LOC284933		
			LOC101929269			OR52N2				ZBTB47			TMEM263		LOC105370586	SNORD116-8	B9D2		RBM20		LINC00869	AKTIP		PCBD2				NICN1				PIGV	WDR60			CEP104		GEN1	RPL23AP82		
			LOC101929294			OR52E6				ACTR8			C12orf65		LOC105370605	SNORD116-10	RSPH6A		PDCD4-AS1		TMIGD3	MTHFSD		UTP15				MON1A				NBPF1	RBM28			RIMS3		C2orf48	LOC339666		
			LOC101929315			OR52E8				SLC25A26			TMEM132C		LOC105370619	SNORD116-11	MED25		LOC283038		AMIGO1	GINS3		ZCCHC9				KBTBD8				NECAP2	C7orf43			EFCAB14		PFN4	TEX33		
			MIR6841			OR52E4				ZNF501			BICDL1		LOC105370622	SNORD116-12	BCL2L12		WDR11-AS1		ODF2L	NDRG4		SLF1				ABHD14B				DNAJC11	TMEM140			DNAJC6		FAM228B	LINC00634		
			MIR6842			OR56A3				GPR62			SDSL			SNORD116-13	TEX101		KCNK18		KIAA1324	ACD		ZBED3				POMGNT2				RCC2	GIMAP4			KLHL21		LOC375196	C22orf34		
			MIR6843			OR56A5				FAM3D			TMEM132B			SNORD116-14	GRWD1		VWA2		LRRC7	DBNDD1		GFM2				UCN2				AJAP1	GIMAP5			SLC35E2		RNF144A-AS1	CHKB-CPT1B		
			MIR6876			OR10A6				LYZL4			IQCD			SNORD116-15	CCDC8		NANOS1		CACHD1	FTO		MEGF10				ZNF502				MTFR1L	TMEM176A			ZBTB40		MFSD2B	OGFRP1		
			MIR7160			OR51T1				KLHL40			LINC01257			SNORD116-16	ZNF541		HMX3		MIER1	FA2H		SPZ1				RFT1				CTNNBIP1	TRPV6			MFN2		C2orf71	LINC00207		
			MIR8055			OR51A4				TMEM42			DEPDC4			SNORD116-17	SYT3		NHLRC2		PTBP2	IRX6		TSLP				ZBTB47				RSRP1	AGK			THRAP3		LOC388942	LOC400927		
			LOC102467222			OR51A2				IQCF1			CCDC38			SNORD116-18	AKT1S1		CCDC172		DNASE2B	IRX3		C5orf30				ACTR8				AGTRAP	METTL2B			INSL5		TMEM247	MIRLET7BHG		
			LOC102725080			IFITM10				GLYCTK			C12orf45			SNORD116-20	CNFN		DMBT1P1		ADGRL4	FAM65A		LYRM7				SLC25A26				PITHD1	KMT2E			PTPRU		LINC01118	LINC00898		
			KBTBD11-OT1			MIR210				PPM1M			TMEM132D			SNORD116-21	SNORD35B		ENO4		MFSD14A	TMEM231		SLC25A46				ZNF501				MAN1C1	BAIAP2L1			TSPAN1		PTRHD1	IL17REL		
			SNORA99			KRTAP5-5				C3orf49			SLC15A4			SNORD116-22	CEACAM21		ARMS2		RBM15	TANGO6		CDKN2AIPNL				GPR62				NIPAL3	BCAP29			CELA3A		SULT6B1	MIRLET7A3		
						KRTAP5-2				SNTN			NEDD1			SNORD116-23	CCDC97		TEX36		DCLRE1B	USB1		NDUFAF2				FAM3D				SEPN1	MEPCE			PDZK1IP1		LOC400940	MIRLET7B		
						KRTAP5-6				SYNPR			SLC9A7P1			SNORD116-24	EXOC3L2		LINC00959		WDR77	WDR59		MRPS36				LYZL4				TP73-AS1	TRPV5			WASF2		LINC00487	MIR33A		
						TMEM41B				LSMEM2			IKBIP			SNORD116-25	SHKBP1		GUCY2GP		DLEU2L	ELMO3		ATP6AP1L				KLHL40				PLEKHG5	ANKRD7			PATJ		LINC01376	LINC00229		
						LOC440028				ASB14			ASCL4			SNORD115-2	CCDC114		NKX1-2		EPS8L3	KLHL36		PRDM6				TMEM42				LRRC47	ZC3HAV1			ANGPTL7		LINC00954	DENND6B		
						TRIM6-TRIM34				FAM19A4			BTBD11			SNORD116-26	LOC93429		LBX1-AS1		VTCN1	FBXO31		FTMT				IQCF1				DISP3	SLC12A9			HNRNPR		C2orf91	PIM3		
						TMEM9B-AS1				CCDC12			SPIC			SNORD116-27	ACPT		C10orf120		TTLL7	SHCBP1		FNIP1				GLYCTK				KIF17	SDHAF3			SRRM1		LINC01121	SHISA8		
						MIR483				PPP4R2			ANO4			SNORD115-3	CGB5		LOC399815		WDR78	SETD6		SNX18				PPM1M				HES4	AKR1B10			CNKSR1		FLJ31356	ODF3B		
						SNORA3A				CCDC13			ALKBH2			SNORD115-4	CGB7		METTL10		RPAP2	ESRP2		EPB41L4A-AS1				C3orf49				GRHL3	SMURF1			ZMPSTE24		CAPN14	PRR5-ARHGAP8		
						SNORA52				XIRP1			FOXN4			SNORD115-5	LRRC4B		FLJ37035		DENND2D	FAM192A		MARCH3				SNTN				IL22RA1	ACTR3B			UBE4B		FAM110C	TBC1D22A-AS1		
						LOC644656				PRICKLE2			SPPL3			SNORD115-6	CGB8		FOXI2		WLS	CENPT		FCHO2				SYNPR				MIIP	KIAA1147			AKR1A1		HCG2040054	SYCE3		
						RASSF10				TTC21A			BRI3BP			SNORD115-7	GNG8		LINC01164		RPF1	CHD9		RAB3C				LSMEM2				CELA2A	STRIP2			TESK2		LOC645949	FAM227A		
						TSSC2				C3orf67			AMDHD1			SNORD115-8	EGLN2		LINC01168		SIKE1	C16orf70		LYSMD3				ASB14				GPATCH3	ESYT2			PPIE		FAM228A	MIR658		
						SNORA23				KCTD6			RFLNA			SNORD115-10	FAM71E1		SPRNP1		TRIM45	CYB5B		LEAP2				FAM19A4				PRDM16	ZNF398			MAD2L2		LOC653602	MIR659		
						SNORA3B				KLHDC8B			ZNF664			SNORD115-11	PTH2		GOLGA7B		ANKRD13C	CMIP		SETD9				CCDC12				PLA2G2F	KIAA1549			PPIH		SNORD92	LOC730668		
						SNORA54				LINC00870			TMEM120B			SNORD115-12	SIGLEC11		LINC01561		VANGL1	ITFG1		IL31RA				PPP4R2				CEP85	NFE4			CAP1		MIR558	LINC01310		
						SNORD97				DNAH12			WDR66			SNORD115-13	CGB1		FAM45A		ST6GALNAC5	GFOD2		EMB				CCDC13				NMNAT1	KMT2C			LRRC41		MIR559	LOC100130899		
						INS-IGF2				PDE12			GLT1D1			SNORD115-14	CGB2		C10orf62		GPR61	CDT1		SLCO6A1				XIRP1				VWA1	EXOC4			PDPN		LINC01249	NDUFA6-AS1		
						MUC5B				DENND6A			SOCS2-AS1			SNORD115-15	LMTK3		FRG2B		REG4	MAP1LC3B		PRRC1				PRICKLE2				PINK1	RINT1			KHDRBS1		DCDC2C	CHKB-AS1		
						ZBED5-AS1				ZNF620			CEP83-AS1			SNORD115-16	ZNF526		SPRN		SYDE2	NETO2		JMY				TTC21A				PRAMEF1	GALNT11			GMEB1		LOC728730	LINC00899		
						MIR675				ALS2CL			CFAP54			SNORD115-17	CEACAM20		MIR146B		ZNF644	PMFBP1		ZNF474				C3orf67				PRAMEF2	LRRC4			NUDC		C1GALT1C1L	MIR1249		
						MRVI1-AS1				TMIE			RAD9B			SNORD115-18	JOSD2		MIR202		LRRC8C	DYNLRB2		POU5F2				KCTD6				NADK	LMBR1			MASP2		RAD51AP2	MIR1281		
						CAND1.11				EOGT			FAM109A			SNORD115-20	IZUMO2		NPS		SGIP1	HSDL1		TMEM171				ARL13B				PHACTR4	TMEM168			SRSF10		DNAJC27-AS1	MIR3201		
						FAM99B				FBXW12			LINC00934			SNORD115-21	CPT1C		SCART1		POLR3GL	CRISPLD2		TMEM174				KLHDC8B				AUNIP	LINC00244			UTS2		MORN2	MIR3909		
						LINC01001				ENTPD3-AS1			KRT19P2			SNORD115-22	ALDH16A1		SNORA19		PROK1	LONP2		POC5				LINC00870				EFHD2	NOM1			SF3A3		MYT1L-AS1	MIR3619		
						MRPL23-AS1				ZNF619			ALDH1L2			SNORD115-23	NTN5		FAM196A		EFCAB7	ENKD1		STARD4				DNAH12				MMEL1	MOSPD3			EBNA1BP2		SLC8A1-AS1	MIR3667		
						MIR302E				ZNF621			SLC5A8			SNORD115-25	IRGQ		RPL13AP6		PSRC1	SLC7A6OS		WDR36				PDE12				RSG1	GIGYF1			KIF2C		OST4	LARGE-AS1		
						MIR4298				LINC00877			PPTC7			SNORD115-26	ZNF428		SNORA12		ATP1A1-AS1	NLRC5		ACOT12				DENND6A				OR4F5	CCDC136			RER1		TDRD15	LL22NC01-81G9.3		
						MIR4299				CCDC66			CCDC63			SNORD115-29	PPM1N		MIR608		ATG4C	DRC7		SOWAHA				CADM2				NKAIN1	PARP12			RCAN3		LINC01126	LOC100506271		
						MTRNR2L8				TCAIM			CCDC60			SNORD115-30	KLC3		MIR609		STRIP1	CAPNS2		SHROOM1				ZNF620				MUL1	CREB3L2			FAF1		LINC01460	LOC100506472		
						LOC100506082				ZNF852			PGAM5			SNORD115-31	IGSF23		RPEL1		ZNF697	COG8		C5orf24				ALS2CL				NOL9	IFT22			MST1P2		LINC01119	LOC100506679		
						MIR210HG				ZNF660			RILPL2			SNORD115-32	LYPD4		TLX1NB		NEXN	SPIRE2		SREK1				TMIE				LIN28A	CYP3A43			MST1L		ARHGEF33	NUP50-AS1		
						LOC100506258				KIF9-AS1			DNAH10			SNORD115-33	CCDC155		MIR936		DNAJA1P5	MT4		DCANP1				EOGT				AGMAT	LRRC61			PADI2		LOC100271832	LINC01589		
						LINC00958				LINC00698			PLBD2			SNORD115-34	DACT3		ADGRA1-AS1		HENMT1	ZNF469		SLC38A9				FBXW12				LINC00115	C7orf49			LYPLA2		LOC100288911	MIR4763		
						MIR4686				EIF4E3			FAM71C			SNORD115-35	SIX5		ATE1-AS1		GNRHR2	GPT2		MGC32805				C3orf38				MORN1	ZNF655			PARK7		MIR1301	MIR4534		
						MIR4485				CCDC36			RMST			SNORD115-36	IGFL2		TEX36-AS1		GBP4	B3GNT9		CEP120				ENTPD3-AS1				FAM110D	PVRIG			CTRC		BRE-AS1	MIR4762		
						MIR4687				PRSS42			SLC17A8			SNORD115-37	ZNF296		DNMBP-AS1		GBP5	UTP4		SLC25A48				ZNF619				DHDDS	GCC1			ACOT7		SNORA80B	MIR378I		
						MIR5691				ZNF445			TTC41P			SNORD115-38	DEDD2		DUX4		SSX2IP	ZNRF1		TMEM167A				ZNF621				GPR157	GAL3ST4			DNAJC8		MIR548S	MIR4766		
