cytoband	11q23.1	8p21.3	13q14.2	1p36.21	6q21	3p14.3	10q26.12	14q24.3	17p12	16q24.2	15q11.2	9p23	22q11.1	19p13.3	4q34.3	2q23.1	9p21.3	21q21.1	2q37.1	20p12.1	11p15.4	17q12	6p25.3	21q11.2	7q36.1	17p13.3	12q24.33	13q34	22q13.32	1p21.2	
	LOC101928823			PHACTR4		MIR425		LOC100289511											CAPN10-AS1	LOC105372582							LRRIQ1			SLC2A5	
	LOC101928847			AUNIP		LIMD1-AS1		MIR1260A											LINC01237	LOC105379477							METTL25			SLC6A9	
	LOC101928940			EFHD2		SPINK8		MIR548H1											LOC101928111	LINC01598							TCHP			SLC9A1	
	LOC101928985			MMEL1		ARIH2OS		MIR3173											CATIP-AS1								COQ5			SLC16A1	
	LOC101929011			RSG1		C3orf84		LOC100506321											LINC01494								HVCN1			SRM	
	LOC101929089			OR4F5		SNORD19		LOC100506476											LOC101928881								SRRM4			STXBP3	
	LOC101929208			MUL1		FAM86DP		LOC100506498											MIR6513								CCDC62			SYCP1	
	LOC101929227			NOL9		SNORD69		LOC100506603											MIR6811								KDM2B			TAF12	
	LOC101929340			LIN28A		MIR564		LOC100506700											MIR6810								CAPS2			TAF13	
	LOC101929427			AGMAT		MIR566		TUNAR											LOC102723927								UNC119B			TAL1	
	LOC101929473			LINC00115		GXYLT2		SYNJ2BP-COX16											MIR9500								USP30			TBX15	
	LOC101929497			MORN1		CCR2		CHURC1-FNTB											CATIP-AS2								ORAI1			TCEA3	
	MIR6756			FAM110D		ESRG		MIR4506											LINC01173								RNFT2			TCEB3	
	MIR7641-1			DHDDS		SNORD19B		MIR4505																			FAM222A			TGFBR3	
	MIR7641-2			GPR157		LINC00696		MIR4708																			RITA1			TIE1	
	MIR6716			SPSB1		SEMA3F-AS1		MIR4709																			FAM222A-AS1			TNFRSF1B	
	LOC102723895			CPTP		NRADDP		MIR4706																			ANKRD13A			TP73	
	LOC102724301			ZNF436		ZNF717		DIO2-AS1																			NAV3			TSHB	
	PKNOX2-AS1			TAS1R2		LOC100132146		MIR5694																			TMEM116			TTC4	
	APOA1-AS			TAS1R1		BSN-AS2		LINC00911																			UBE3B			TNFRSF4	
	LOC105369473			OR4F16		PRSS46		LOC100996664																			TMEM263			UQCRH	
	LOC105369486			ACTL8		LINC00994		LOC101928075																			C12orf29			UROD	
	LOC105369507			CCNL2		FRG2C		LOC101928123																			C12orf65			USP1	
	LOC105369509			SH3BGRL3		MIR1284		LOC101928143																			TMEM132C			VCAM1	
	LOC105369532			SESN2		MIR1324		LOC101928504																			BICDL1			WNT2B	
	STT3A-AS1			ESPN		MIR1226		LINC01467																			SDSL			ZSCAN20	
				TAS1R3		MIR2115		LOC101928767																			TMEM132B			ZBTB17	
				ATAD3B		MIR711		LOC101928791																			OSBPL8			SLC30A2	
				TMEM222		MIR3136		LOC101928909																			IQCD			LUZP1	
				PLEKHN1		MIR4272		LOC101929002																			LINC01257			PRDM2	
				USP48		MIR4271		LOC101929080																			DEPDC4			DNALI1	
				NBPF3		MIR4273		LOC101929241																			CCDC38			LRP8	
				ZDHHC18		MIR3938		LINC00644																			C12orf45			LAPTM5	
				SLC25A33		MIR3923		MIR7641-2																			TMEM132D			BSND	
				DDI2		PRKAR2A-AS1		MIR7843																			SLC15A4			CSDE1	
				LZIC		IQCF4		MIR7855																			TPH2			EVI5	
				TRIM63		PTPRG-AS1		LOC102723809																			NEDD1			PTP4A2	
				PERM1		PSMD6-AS2		LOC102724153																			SLC9A7P1			ARID1A	
				CROCCP2		ADAMTS9-AS2		LOC102724190																			IKBIP			CDC7	
				SYTL1		ABHD14A-ACY1		LINC01269																			ASCL4			HIST2H2AA3	
				IGSF21		TMEM110-MUSTN1		LINC01629																			BTBD11			HIST2H2AC	
				SNHG12		MIR4793		LOC105370586																			SPIC			HIST2H2BE	
				CFAP74		MIR4787		LOC105370605																			ANO4			HIST2H4A	
				KIAA2013		MIR4444-1		LOC105370619																			ALKBH2			BCAR3	
				THAP3		MIR4443		LOC105370622																			FOXN4			SNHG3	
				STPG1		PRICKLE2-AS1																					SPPL3			NR0B2	
				UBXN11		RBM5-AS1																					BRI3BP			RAD54L	
				C1orf158		MIR5193																					AMDHD1			TTF2	
				FBXO44		MAGI1-AS1																					GLIPR1L2			PIK3R3	
				ATPIF1		ITIH4-AS1																					RFLNA			MMP23B	
				CROCCP3		SYNPR-AS1																					ZNF664			MMP23A	
				FHAD1		THOC7-AS1																					TMEM120B			KCNAB2	
				LOC115110		GLYCTK-AS1																					WDR66			ITGA10	
				RAB42		ARHGEF3-AS1																					GLT1D1			LMO4	
				FAM46B		CACNA2D3-AS1																					TSPAN19			FCN3	
				RBP7		PRICKLE2-AS2																					E2F7			CDC14A	
				ACAP3		PRICKLE2-AS3																					SOCS2-AS1			YARS	
				UBE2J2		LARS2-AS1																					CEP83-AS1			MKNK1	
				KDF1		FCF1P2																					CFAP54			AKR7A2	
				LRRC38		SUCLG2-AS1																					RAD9B			PLPP3	
				AADACL3		SAMMSON																					FAM109A			RTCA	
				PUSL1		PDZRN3-AS1																					LINC00934			PTCH2	
				B3GALT6		LOC101927296																					KRT19P2			ALDH4A1	
				IFFO2		LOC101927374																					TMTC2			EIF3I	
				TPRG1L		SEMA3B-AS1																					TMTC3			EIF4G3	
				FAM213B		IQCF5-AS1																					C12orf50			B4GALT2	
				MYOM3		LOC101929054																					ALDH1L2			TNFRSF25	
				KLHDC7A		LOC101929159																					SLC5A8			PABPC4	
				VWA5B1		C3orf67-AS1																					PPTC7			TNFRSF14	
				UBXN10		ADAMTS9-AS1																					CCDC63			TNFRSF18	
				ARHGEF19		RASSF1-AS1																					CCDC60			FPGT	
				ACTRT2		MIR5787																					PGAM5			PEX11B	
				MIB2		MIR6823																					RILPL2			PER3	
				C1orf127		MIR6824																					DNAH10			FUBP1	
				SAMD11		MIR6872																					ZFC3H1			EIF2B3	
				LOC148413		MIR6890																					PLBD2			BCL10	
				PHF13		MIR8064																					FAM71C			ARTN	
				LINC00337		LOC102724297																					RMST			MAP3K6	
				CCDC27		CELSR3-AS1																					CCER1			DIRAS3	
				ZNF436-AS1		MIR548BB																					SLC17A8			SLC16A4	
				PDIK1L		FOXP1-AS1																					TTC41P			PRPF3	
				C1orf64		LOC105377102																					LRRC43			KCNQ4	
				SLC2A7		LOC105377105																					TCP11L2			ZMYM4	
				CALML6		FAM3D-AS1																					TBX5-AS1			ZMYM6	
				IFNLR1		LOC105377143																					LINC01619			DHRS3	
				FAM43B		LOC105377146																					GLIPR1L1			SRSF11	
				PAQR7		LOC105377162																					POC1B			VAMP3	
				FAM76A		ARF4-AS1																					OTOGL			ZFYVE9	
				TMEM201		SNORD136																					LOC283352			CD101	
				FAAP20		SNORA94																					ADGRD1			SEP15	
				TMEM51-AS1																							MORN3			ZRANB2	
				ATAD3C																							TRHDE-AS1			SNRNP40	
				AKR7L																							GAS2L3			ARHGAP29	
				LINC01342																							LINC00485			THEMIS2	
				TTLL10																							MYO1H			TMEM59	
				TMCO4																							HECTD4			SEC22B	
				ZNF683																							KSR2			CHD1L	
				MDS2																							GATC			H6PD	
				NPHP4																							HNF1A-AS1			CLCA3P	
				C1orf167																							DDX51			CLCA2	
				FAM41C																							MMAB			ISG15	
				LOC284632																							HCAR2			PLCH2	
				LOC284661																							LINC00936			HS2ST1	
				SLC25A34																							TMEM119			PDE4DIP	
				ESPNP																							LOC338797			IPO13	
				C1orf174																							LINC01089			SDC3	
				KLHL17																							C12orf74			KDM4A	
				TMEM240																							EP400NL			CROCC	
				TMEM52																							RILPL1			PUM1	
				LINC01141																							PTPRQ			CEP104	
				AADACL4																							C12orf42			RIMS3	
				PRAMEF5																							IL31			EFCAB14	
				HNRNPCL1																							C12orf75			DNAJC6	
				PRAMEF10																							CFAP73			LRIG2	
				FAM131C																							TMEM233			PLPPR4	
				PADI6																							KMT5A			SV2A	
				DRAXIN																							LINC00944			KLHL21	
				SPATA21																							MKRN9P			SLC35E2	
				AGRN																							C12orf76			ZBTB40	
				CENPS																							LINC00939			MFN2	
				CATSPER4																							FLJ37505			RBM8A	
				GPR153																							MIR135A2			THRAP3	
				FAM132A																							LOC414300			INSL5	
				HES5																							LINC00615			PIGK	
				SMIM1																							PLEKHG7			PTPRU	
				RNF207																							LOC440117			TSPAN2	
				TMEM82																							FZD10-AS1			TSPAN1	
				TRNP1																							MIR331			CELA3A	
				CD164L2																							EID3			PDZK1IP1	
				HES3																							ATXN7L3B			WASF2	
				PRAMEF12																							CLLU1OS			PATJ	
				PRAMEF8																							CLLU1			ANGPTL7	
				PRAMEF18																							MIR492			HNRNPR	
				PRAMEF17																							MAP1LC3B2			SRRM1	
				PLA2G2C																							LOC643339			CNKSR1	
				FAM87B																							LOC643711			SF3B4	
				PRAMEF4																							LOC643770			ZMPSTE24	
				PRAMEF13																							ANHX			UBE4B	
				SH2D5																							SNORA49			BCAS2	
				NCMAP																							SNORA53			AKR1A1	
				RNF223																							MIR617			WARS2	
				LDLRAD2																							MIR618			CEPT1	
				MIR200A																							MIR619			PIAS3	
				MIR200B																							MIR620			TESK2	
				MIR34A																							LOC728084			PPIE	
				LINC00982																							C12orf73			VAV3	
				PRAMEF11																							LOC728739			MAD2L2	
				PRAMEF6																							MRS2P2			PPIH	
				HNRNPCL2																							TMPO-AS1			CAP1	
				UQCRHL																							LOC100128554			LRRC41	
				MINOS1																							LOC100130238			LAMTOR5	
				ANKRD65																							LINC01405			IFI44	
				PRAMEF7																							USP30-AS1			POLR3C	
				PRAMEF25																							PGAM1P5			TXNIP	
				MIR429																							LOC100190940			PDPN	
				LINC01128																							LINC00173			KHDRBS1	
				TMEM88B																							LOC100287944			GMEB1	
				FNDC10																							ZNF605			AP4B1	
				RPS14P3																							MIR1252			NUDC	
				ACTG1P20																							MIR1827			PHTF1	
				PIK3CD-AS1																							MIR1302-1			MASP2	
				PRAMEF26																							MIR1178			AHCYL1	
				PRAMEF33P																							MIR1251			SRSF10	
				PRAMEF19																							MIR4303			WDR3	
				PRAMEF20																							MIR4304			MTMR11	
				FAM138A																							MIR3685			MAN1A2	
				LACTBL1																							MIR3612			UTS2	
				LOC646471																							MIR3652			SF3A3	
				PRAMEF34P																							MIR3922			IFI44L	
				HNRNPCL3																							MIR3657			EBNA1BP2	
				PRAMEF22																							MIR3908			KIF2C	
				PRAMEF15																							LOC100505978			RER1	
				WASH7P																							LINC01234			DNAJB4	
				FAM138C																							LOC100506551			ADAM30	
				SCARNA1																							PXN-AS1			RCAN3	
				FAM138D																							NRAV			FAF1	
				SNORA44																							LOC100506691			CD160	
				SNORA61																							LRCOL1			GLMN	
				SNORA59A																							CLIP1-AS1			HHLA3	
				SNORA16A																							LOC100507091			MST1P2	
				SNORD99																							LINC00943			DDX20	
				MIR551A																							LOC100507377			MST1L	
				C1orf195																							POC1B-GALNT4			PADI2	
				CDK11A																							ZNF664-FAM101A			VPS45	
				SLC35E2B																							MIR4699			LYPLA2	
				LINC01346																							MIR4498			PARK7	
				C1orf234																							MIR4496			CTRC	
				PRAMEF14																							MIR4495			ACOT7	
				FAM231A																							MIR4419B			CLCA4	
				FAM231C																							MIR4472-2			MTF2	
				FLJ37453																							MIR4700			DNAJC8	
				LOC729737																							MIR4497			NTNG1	
				OR4F29																							MIR5188			CLSTN1	
				LOC100129534																							MIR5700			FOXJ3	
				LOC100130417																							MIR548AQ			WDR47	
				LOC100132062																							LINC00507			SCMH1	
				LOC100132147																							LOC100996671			AKR7A3	
				FAM231B																							LOC100996679			TTC39A	
				LOC100133331																							ZNF891			SPEN	
				LINC01134																							LOC101593348			KDM1A	
				DDX11L1																							LOC101927415			USP33	
				TTC34																							LOC101927464			WDTC1	
				LOC100288069																							LOC101927592			EMC1	
				MIR1256																							LOC101927616			KIF1B	
				MIR1976																							LOC101927637			MAST2	
				MIR1290																							LOC101927694			NCDN	
				MIR1302-2																							LOC101927735			CLCC1	
				NPPA-AS1																							LOC101928137			SLC35D1	
				MIR1302-9																							LINC01486			PLEKHM2	
				MIR1302-10																							TESC-AS1			RPRD2	
				MIR3115																							LOC101928416			OTUD3	
				MIR4253																							LINC01490			KAZN	
				MIR1302-11																							LOC101928449			CAMTA1	
				MIR4251																							LOC101928530			ADGRL2	
				MIR1273D																							LOC101928597			KIAA1107	
				MIR4252																							LOC101928617			ZCCHC11	
				MIR3917																							LOC101928731			SZT2	
				MIR3675																							LOC101928937			DNAJC16	
				LOC100505887																							LOC101929058			UBR4	
				ENO1-AS1																							LOC101929084			USP24	
				LOC100506022																							CASC18			ATP13A2	
				LOC100506730																							LOC101929162			ITGB3BP	
				LOC100506801																							MIR6760			TARDBP	
				TCEB3-AS1																							MIR6761			CELA3B	
				LOC100506985																							MIR6762			SLC35A3	
				APITD1-CORT																							MIR6861			ICMT	
				MINOS1-NBL1																							MIR7107			MACF1	
				MIR4695																							MIR7641-2			LRRC8B	
				MIR4419A																							MIR7844			LPAR3	
				MIR3972																							MIR6763			PADI4	
				MIR4425																							MIR6880			DDAH1	
				MIR4684																							MIR7106			TMEM50A	
				MIR4689																							MIR8072			CA14	
				MIR5096																							THRIL			KPNA6	
				MIR4418																							LINC01498			SSBP3	
				MIR4632																							LOC102724663			STX12	
				MIR4417																							LOC102724933			NBPF14	
				MIR378F																							LHX5-AS1			CLIC4	
				RCAN3AS																							LINC00508			SYF2	
				MIR5697																							LOC105369860			RWDD3	
				PINK1-AS																							LOC105369879			PARS2	
				MTOR-AS1																							LOC105369891			MMACHC	
				LINC01355																							LOC105369893			ZZZ3	
				LOC100996583																							LOC105369911			ACOT11	
				HNRNPCL4																							LOC105369920			CHD5	
				LOC101927876																							LOC105369921			SZRD1	
				LOC101927895																							LOC105369945			LDLRAP1	
				UBXN10-AS1																							KCCAT198			SERBP1	
				LOC101928043																							LOC105369980			NOC2L	
				LOC101928163																							LOC105370014			PTPN22	
				LOC101928303																							LOC105370016			PHGDH	
				LOC101928324																							LOC105370024			FBXO2	
				LOC101928626																							LOC105370068			FBXO6	
				LOC101928728																							CRAT8			PLA2G2D	
				PIK3CD-AS2																							XLOC_009911			AK5	
				LOC101929181																							LACAT8			MYCBP	
				PRAMEF27																							LOC107161159			HEYL	
				RNU6-7																										AGO1	
				RNU6-8																										SNORA73B	
				MIR6084																										SNORA66	
				MIR6723																										SNORD45B	
				MIR6726																										SNORD45A	
				MIR6727																										SNORD55	
				MIR6728																										RNU11	
				MIR6731																										RNU6-1	
				MIR7846																										RNU5F-1	
				MIR6859-2																										RNU5E-1	
				MIR6859-3																										RNU5D-1	
				MIR6127																										RNVU1-7	
				MIR6730																										RNU1-3	
				MIR6808																										RNU1-2	
				MIR6859-1																										RNU1-1	
				MIR6729																										RNF11	
				LOC102724312																										FOXD3	
				LOC102724450																										TRAPPC3	
				LOC102724539																										HSPB7	
				LOC102724552																										CHIA	
				LOC102724571																										ARHGEF16	
				LOC102724659																										AHDC1	
				RNU6-2																										RNF115	
				LOC105376736																										TEKT2	
				LOC105376805																										SMPDL3B	
				LOC105378591																										ANGPTL3	
				LOC105378614																										LINC00339	
				MIR34AHG																										SSU72	
				SNORD128																										GNL2	
																														GPSM2	
																														UBIAD1	
																														ALG6	
																														PADI1	
																														SLC25A24	
																														PLA2G2E	
																														DNTTIP2	
																														WRAP73	
																														SLC45A1	
																														HP1BP3	
																														TMED5	
																														BOLA1	
																														CELA2B	
																														ZNF593	
																														ZNF691	
																														TXNDC12	
																														TNNI3K	
																														SH3GLB1	
																														MECR	
																														APH1A	
																														UTP11	
																														SDF4	
																														MRTO4	
																														PLEKHO1	
																														HAO2	
																														ACP6	
																														TMEM69	
																														MRPL37	
																														HOOK1	
																														SNX7	
																														HPCAL4	
																														YTHDF2	
																														GPR89B	
																														ZCCHC17	
																														TRIM33	
																														DPH5	
																														HSPB11	
																														PADI3	
																														CMPK1	
																														GPR88	
																														ERRFI1	
																														WNT4	
																														YIPF1	
																														FBXO42	
																														MRPS21	
																														TRMT13	
																														ADAMTSL4	
																														RNF186	
																														SPATA6	
																														MXRA8	
																														L1TD1	
																														HES2	
																														RSBN1	
																														ZNHIT6	
																														GPN2	
																														LEPROT	
																														FBLIM1	
																														MED18	
																														TRIT1	
																														GIPC2	
																														GDAP2	
																														FAM46C	
																														PALMD	
																														FNBP1L	
																														ST7L	
																														PQLC2	
																														CASZ1	
																														RHBDL2	
																														ADPRHL2	
																														TRNAU1AP	
																														C1orf109	
																														CPSF3L	
																														C1orf123	
																														C1orf159	
																														AURKAIP1	
																														TTC22	
																														MRPL20	
																														AIM1L	
																														TMEM51	
																														BSDC1	
																														XKR8	
																														TMEM39B	
																														PRPF38B	
																														CDCA8	
																														LRRC8D	
																														ARHGEF10L	
																														PRMT6	
																														RNF220	
																														VPS13D	
																														EVA1B	
																														ATAD3A	
																														TMEM57	
																														TRIM62	
																														RAVER2	
																														PANK4	
																														ECHDC2	
																														FGGY	
																														MCOLN3	
																														SLC22A15	
																														CAMK2N1	
																														RNPC3	
																														ASAP3	
																														POMGNT1	
																														PNRC2	
																														LRRC40	
																														DEPDC1	
																														PIGV	
																														NBPF1	
																														MAP7D1	
																														NDC1	
																														NECAP2	
																														IQCC	
																														DNAJC11	
																														LRIF1	
																														CTTNBP2NL	
																														RCC2	
																														FAM212B	
																														DMAP1	
																														AJAP1	
																														GNG12	
																														TMEM234	
																														MTFR1L	
																														KYAT3	
																														TMEM167B	
																														OLFML3	
																														OTUD7B	
																														CTNNBIP1	
																														RSRP1	
																														AGTRAP	
																														PITHD1	
																														MAN1C1	
																														NIPAL3	
																														SEPN1	
																														TP73-AS1	
																														LINC00869	
																														TMIGD3	
																														PLEKHG5	
																														AMIGO1	
																														LRRC47	
																														ODF2L	
																														KIAA1324	
																														DISP3	
																														LRRC7	
																														KIF17	
																														ZSWIM5	
																														KIAA1522	
																														CACHD1	
																														MIER1	
																														HES4	
																														GRHL3	
																														PTBP2	
																														DNASE2B	
																														DLGAP3	
																														IL22RA1	
																														HIVEP3	
																														GPBP1L1	
																														MIIP	
																														CELA2A	
																														GPATCH3	
																														DMRTB1	
																														DMRTA2	
																														CLSPN	
																														PRDM16	
																														OXCT2	
																														RRAGC	
																														ADGRL4	
																														TINAGL1	
																														P3H1	
																														PLA2G2F	
																														MFSD14A	
																														SMAP2	
																														ATPAF1	
																														S100PBP	
																														MEAF6	
																														RBM15	
																														EXO5	
																														CEP85	
																														NMNAT1	
																														ELOVL1	
																														VWA1	
																														DCLRE1B	
																														MRPS15	
																														PINK1	
																														MARCKSL1	
																														PRAMEF1	
																														PRAMEF2	
																														NADK	
																														ZFP69B	
																														COA7	
																														PHACTR4	
																														AUNIP	
																														ERI3	
																														C1orf50	
																														WDR77	
																														CCDC28B	
																														EFHD2	
																														MMEL1	
																														RSG1	
																														DLEU2L	
																														OR4F5	
																														NKAIN1	
																														EPS8L3	
																														MUL1	
																														C1orf54	
																														TMEM53	
																														AKIRIN1	
																														HECTD3	
																														BEND5	
																														VTCN1	
																														YRDC	
																														ZYG11B	
																														NOL9	
																														PPCS	
																														LIN28A	
																														SH3D21	
																														TTLL7	
																														SNIP1	
																														AGMAT	
																														WDR78	
																														ZMYM1	
																														LINC00115	
																														RPAP2	
																														MORN1	
																														FAM110D	
																														KIAA0319L	
																														DHDDS	
																														DENND2D	
																														WLS	
																														GPR157	
																														RPF1	
																														SIKE1	
																														ZC3H12A	
																														SPSB1	
																														TARS2	
																														TRIM45	
																														CPTP	
																														ZNF436	
																														TAS1R2	
																														TAS1R1	
																														GJA9	
																														OR4F16	
																														SYNC	
																														ACTL8	
																														ANKRD13C	
																														ANP32E	
																														TSSK3	
																														CCNL2	
																														VANGL1	
																														ST6GALNAC5	
																														HYI	
																														SH3BGRL3	
																														SESN2	
																														ESPN	
																														TAS1R3	
																														ATAD3B	
																														GPR61	
																														STK40	
																														TM2D1	
																														REG4	
																														TMEM222	
																														PLEKHN1	
																														SYDE2	
																														ZNF644	
																														USP48	
																														ZMYND12	
																														NBPF3	
																														LRRC8C	
																														ZDHHC18	
																														SGIP1	
																														POLR3GL	
																														SLC25A33	
																														DDI2	
																														LZIC	
																														PROK1	
																														EFCAB7	
																														NT5C1A	
																														TRIM63	
																														PSRC1	
																														FAM167B	
																														FOXD2-AS1	
																														PERM1	
																														CROCCP2	
																														HPDL	
																														ATP1A1-AS1	
																														AGBL4	
																														MFSD2A	
																														ATG4C	
																														PRPF38A	
																														SYTL1	
																														IGSF21	
																														LSM10	
																														C1orf94	
																														SNHG12	
																														STRIP1	
																														DOCK7	
																														CFAP74	
																														KIAA2013	
																														THAP3	
																														STPG1	
																														SPOCD1	
																														ZNF697	
																														BTF3L4	
																														UBXN11	
																														NEXN	
																														C1orf158	
																														FBXO44	
																														ATPIF1	
																														SNORD46	
																														SNORD38A	
																														SNORD38B	
																														DNAJA1P5	
																														MED8	
																														KTI12	
																														SMIM12	
																														AZIN2	
																														TMEM54	
																														HENMT1	
																														TOE1	
																														ERMAP	
																														CSMD2	
																														MYSM1	
																														GNRHR2	
																														CROCCP3	
																														FHAD1	
																														OSBPL9	
																														LOC115110	
																														OMA1	
																														RAB42	
																														LRRC42	
																														GBP4	
																														GBP5	
																														FAM46B	
																														RBP7	
																														ACAP3	
																														SSX2IP	
																														UBE2J2	
																														OLFM3	
																														CCDC163	
																														KDF1	
																														LRRC38	
																														AADACL3	
																														PUSL1	
																														B3GALT6	
																														WDR63	
																														MAB21L3	
																														IFFO2	
																														SLC44A3	
																														ATXN7L2	
																														C1orf194	
																														ASB17	
																														TYW3	
																														ERICH3	
																														LRRIQ3	
																														TPRG1L	
																														FAM213B	
																														MYOM3	
																														DMBX1	
																														TMCO2	
																														ZNF684	
																														TCEANC2	
																														PODN	
																														LRRC39	
																														GJB4	
																														HMGB4	
																														RNF19B	
																														A3GALT2	
																														C1orf122	
																														OSCP1	
																														C1orf216	
																														KLHDC7A	
																														VWA5B1	
																														UBXN10	
																														C1orf87	
																														LIX1L	
																														HSD3BP4	
																														KLF17	
																														TMEM125	
																														ARHGEF19	
																														DRAM2	
																														PIFO	
																														C1orf162	
																														ACTRT2	
																														MIB2	
																														SYT6	
																														C1orf127	
																														SAMD11	
																														LOC148413	
																														SAMD13	
																														C1orf52	
																														PHF13	
																														CIART	
																														TMEM56	
																														NBPF4	
																														UBE2U	
																														LINC00337	
																														HFE2	
																														ANKRD35	
																														SLC30A7	
																														CCDC27	
																														ZNF436-AS1	
																														KNCN	
																														MOB3C	
																														GLIS1	
																														NBPF12	
																														MGC27382	
																														DCDC2B	
																														ZNF362	
																														LINC01225	
																														MANEAL	
																														IL23R	
																														PDIK1L	
																														CLDN19	
																														CFAP57	
																														C1orf210	
																														CCDC24	
																														BTBD19	
																														CCDC17	
																														C1orf64	
																														CHIAP2	
																														SLC2A7	
																														DENND2C	
																														GBP6	
																														PLPPR5	
																														FNDC7	
																														CALML6	
																														IFNLR1	
																														CYP4Z2P	
																														CITED4	
																														SLC25A3P1	
																														LEXM	
																														KANK4	
																														SASS6	
																														FAM43B	
																														HFM1	
																														PAQR7	
																														UBL4B	
																														NUDT4P2	
																														PDIA3P1	
																														OXCT2P1	
																														AGO3	
																														AGO4	
																														ALG14	
																														FAM76A	
																														LINC00466	
																														C1orf168	
																														TMEM201	
																														TMEM61	
																														CYP4Z1	
																														FAAP20	
																														CDCP2	
																														SLC5A9	
																														CC2D1B	
																														NBPF11	
																														NUDT17	
																														TXLNA	
																														TCTEX1D1	
																														SPAG17	
																														SLFNL1	
																														TMEM51-AS1	
																														HIPK1	
																														SLC44A5	
																														ATAD3C	
																														AKR7L	
																														AKR7A2P1	
																														FNDC5	
																														EPHX4	
																														LINC01342	
																														TTLL10	
																														AKNAD1	
																														TMCO4	
																														MCOLN2	
																														COL24A1	
																														PCSK9	
																														ST6GALNAC3	
																														ZNF683	
																														NEGR1	
																														MDS2	
																														CYP4X1	
																														MAGI3	
																														NPHP4	
																														BEST4	
																														FAM19A3	
																														C1orf167	
																														CYP4A22	
																														C1orf185	
																														LINC01226	
																														NBPF15	
																														FAM41C	
																														FAM102B	
																														SYPL2	
																														CYB561D1	
																														ANKRD34A	
																														LOC284632	
																														RSPO1	
																														EPHA10	
																														LOC284661	
																														ZNF326	
																														BTBD8	
																														RIMKLA	
																														SLC25A34	
																														ESPNP	
																														HIST2H2AB	
																														PPM1J	
																														HIST2H3A	
																														HIST2H2BC	
																														HIST2H2BA	
																														FAM151A	
																														LINC01343	
																														C1orf174	
																														KLHL17	
																														TMEM240	
																														TMEM52	
																														MTMR9LP	
																														ZBTB8OS	
																														TFAP2E	
																														LINC01141	
																														LINC01140	
																														LOC339539	
																														C1orf228	
																														ZFP69	
																														AADACL4	
																														PRAMEF5	
																														HNRNPCL1	
																														PRAMEF10	
																														CCDC18	
																														MYBPHL	
																														BARHL2	
																														NBPF7	
																														TCTEX1D4	
																														SERINC2	
																														FAM159A	
																														FAM131C	
																														PADI6	
																														BMP8A	
																														DRAXIN	
																														SPATA21	
																														SVBP	
																														TEX38	
																														MROH7	
																														MIGA1	
																														NEXN-AS1	
																														AGRN	
																														CENPS	
																														CATSPER4	
																														NSUN4	
																														GPR153	
																														FAM132A	
																														HES5	
																														SMIM1	
																														RNF207	
																														TMEM82	
																														TRNP1	
																														CD164L2	
																														TRABD2B	
																														LDLRAD1	
																														GBP7	
																														C1orf146	
																														FAM69A	
																														SLC6A17	
																														C1orf137	
																														NOTCH2NL	
																														LINC01138	
																														LOC388692	
																														HES3	
																														PRAMEF12	
																														PRAMEF8	
																														PRAMEF18	
																														PRAMEF17	
																														PLA2G2C	
																														SKINT1L	
																														UOX	
																														FRRS1	
																														TMEM200B	
																														FAM87B	
																														PRAMEF4	
																														PRAMEF13	
																														SH2D5	
																														NCMAP	
																														LINC01144	
																														C1orf141	
																														GBP1P1	
																														FLJ27354	
																														MIR137HG	
																														NBPF9	
																														RNF223	
																														LDLRAD2	
																														CSMD2-AS1	
																														MIR101-1	
																														MIR137	
																														MIR186	
																														MIR197	
																														MIR200A	
																														MIR200B	
																														MIR30C1	
																														MIR30E	
																														MIR34A	
																														MGC34796	
																														LHX8	
																														LINC01555	
																														LINC00982	
																														PRAMEF11	
																														PRAMEF6	
																														HNRNPCL2	
																														UQCRHL	
																														MINOS1	
																														SLC2A1-AS1	
																														FAM183A	
																														ZYG11A	
																														FLJ31662	
																														LOC440600	
																														LOC440602	
																														BCL2L15	
																														NUDT4P1	
																														HIST2H2BF	
																														ANKRD65	
																														PRAMEF7	
																														PRAMEF25	
																														PGCP1	
																														GEMIN8P4	
																														RBMXL1	
																														LURAP1	
																														PEF1	
																														MIR429	
																														FAM72C	
																														ADAMTSL4-AS1	
																														CYB5RL	
																														SSBP3-AS1	
																														SPATA42	
																														CYMP	
																														KIAA0754	
																														LOC643355	
																														LOC643441	
																														LINC01128	
																														TMEM88B	
																														FNDC10	
																														RPS14P3	
																														LINC00622	
																														PPIAL4G	
																														FAM231D	
																														NBPF13P	
																														ACTG1P20	
																														PIK3CD-AS1	
																														NFIA-AS1	
																														PPIAL4D	
																														LOC645166	
																														PRAMEF26	
																														PRAMEF33P	
																														PRAMEF19	
																														PRAMEF20	
																														FAM138A	
																														LACTBL1	
																														LOC646471	
																														LOC646626	
																														SETSIP	
																														EMBP1	
																														SRGAP2B	
																														ACTG1P4	
																														PRAMEF34P	
																														HNRNPCL3	
																														ZBTB8A	
																														NBPF6	
																														LOC653160	
																														SRGAP2C	
																														PPIAL4A	
																														GPR89A	
																														PPIAL4C	
																														HIST2H3D	
																														PRAMEF22	
																														PRAMEF15	
																														WASH7P	
																														FAM72B	
																														FAM138C	
																														SCARNA2	
																														SCARNA1	
																														FAM138D	
																														SNORA44	
																														SNORA55	
																														SNORA61	
